Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Yeong-jae Lee,0.13,0.13,28,1.81,0,3.13,1.81,1.19,0,1.19,0,1.19,0.19,0.25,65.5,83.78,12.38,63.45,0,0.06,0,0,1.69,0.31,0.13,0,61.54,45.93,1.13,0.81,16
Darijan Bojanić,0,0,37.5,0.44,0,0,2,0.44,0,0,0,0.33,0.11,0.11,44.33,89.47,9.33,68,0,0,0,0,0.22,0,0,0,0,57.78,0.56,0.67,9
Chang-min Lee,0,0,37.5,1.38,0,0,1.77,1.38,0,1.46,0,0.69,0.15,0,55.85,77.13,10.38,43.86,0,0.38,0,0,0.69,0.15,0.15,0,60,52.56,0.46,0.62,13
Eom Ji-Sung,0.18,0.14,56.32,2.36,0,0,1.04,0.25,0,0.61,0,0.68,0.21,0.14,21.89,76.84,7.46,59.46,0,0.07,0,0,0.64,0.07,0.04,0.04,40.74,51.76,1.82,0.71,28
Sung-dong Baek,0.16,0.04,43.75,1.4,0,0,0.36,0.2,0,0.4,0,0.12,0.48,0.32,19.32,80.75,5.4,54.05,0,0.08,0,0,0.6,0.24,0.04,0,45.83,48.28,0.6,0.4,25
Dong-min Kim,0,0,63.16,0.3,0,0,1.96,1.52,0.04,4.63,0,0.59,0,0.04,51.07,84.34,3.74,40.33,0,0.33,0,0,0.85,0.11,0.19,0.07,51.9,56.74,0.59,0.78,27
Osmar Barba,0.06,0.06,67.5,0.77,0.06,0,2.23,1.77,0.03,2.83,0.06,0.91,0.09,0.09,73.31,87.57,9.57,52.68,0,0.2,0,0,1.09,0.06,0.11,0.03,58.14,57.06,0.4,0.77,35
Je-un Yeon,0.15,0.15,100,0.62,0.15,0,1.08,0.85,0,2.31,0,0.23,0,0,62.15,89.98,4.92,61,0,0.23,0,0,1.08,0.38,0,0,67.57,70.77,0.38,0.31,13
Harrison Delbridge,0,0.04,60,0.88,0,0,1.68,1.64,0,3.28,0,0.2,0,0,51,79.45,5,45.45,0,0.2,0,0,1.04,0.2,0.16,0,73.24,69.46,0.56,1.04,25
Seung-Gi Lee,0,0,0,2,0,0,0.5,0.5,0,1,0,0,0,0,32.5,89.23,13.5,75,0,0,0,0,2.5,0,0,0,75,70,1.5,0,2
Aaron Calver,0,0.15,77.78,0.5,0,0,1.1,0.95,0,3.15,0,0.3,0,0,47.8,87.34,5.4,51.09,0,0.2,0,0,0.45,0,0.15,0,59.18,58.23,0.25,0.7,20
Soon-min Lee,0.03,0.03,56.41,0.94,0.03,0,1.66,1.2,0,1.57,0,0.6,0,0.03,47.34,85.94,10.49,65.61,0,0.4,0,0,0.74,0.06,0.29,0,44.68,51.33,0.91,1.2,35
Yong Woo Park,0.05,0,64.29,0.58,0.05,0,1.32,1.11,0,1.05,0,0.95,0.21,0.21,72.53,85.78,12.74,59.48,0,0.16,0,0,0.74,0.21,0.16,0,59.74,54.26,1.16,1.16,19
Dae-won Kim,0.11,0.08,42.31,1.35,0,0,1.03,0.7,0,0.11,0.03,0.68,0.3,0.11,26.92,72.79,7.43,47.06,0,0.08,0,0,0.76,0.14,0.03,0,17.65,37.56,0.46,0.65,37
Aleksandar Paločević,0.11,0.06,60,1.17,0,0.57,1.63,0.74,0,0.77,0,0.86,0.11,0.09,44.6,85.33,12.71,62.64,0,0.06,0,0,1,0.03,0.14,0,42.86,50.84,0.8,0.57,35
Seung-hyun Jung,0.04,0.04,100,0.39,0,0,1.22,0.91,0.04,2.96,0,0.26,0,0,59.52,86.71,5.57,51.37,0,0.26,0,0,0.7,0.26,0.17,0,60,61.81,0.3,0.61,23
Jeong-ho Hong,0,0,0,0.14,0,0,1,1.27,0,3.09,0,0.32,0,0,46.23,85.84,4.36,54.67,0,0.23,0,0,0.77,0.14,0.09,0.09,63.64,60.14,0.55,0.82,22
Myeong-jae Lee,0,0.03,53.33,0.55,0,0,1.31,0.66,0,0.83,0,0.48,0.14,0.17,49,84.87,10.38,54.49,0,0.14,0,0,0.86,0.24,0.07,0,67.86,58.06,0.59,0.41,29
Seung-Woo Lee,0.28,0.22,53.93,2.44,0.03,0,0.83,0.47,0.03,0.11,0,0.67,0.31,0.08,28.72,80.75,9.11,56.41,0,0,0,0,1.19,0.31,0.14,0.06,22.45,45.32,1.83,1.31,36
Jin-hyun Lee,0.1,0.03,46.67,1.28,0,0,1.62,0.55,0,0.24,0,0.69,0.17,0.21,37.52,79.78,9.93,47.47,0,0.07,0,0,1,0.24,0.1,0,40,50.48,1.14,1.14,29
Ki Je Lee,0.06,0,56.25,0.68,0,0.59,1.42,0.74,0,1.58,0,0.61,0.35,0.13,43,79.44,8.32,45.45,0,0.13,0,0,1.35,0.16,0.16,0,42.86,53.7,0.52,0.74,31
Se-jong Ju,0.03,0,56.25,0.7,0.03,0,1.67,1.17,0.03,0.4,0,0.77,0.13,0.07,57.63,82.94,11.13,57.6,0,0.07,0,0,0.97,0.17,0.1,0.03,35.71,51.87,1.1,0.97,30
Jasir Asani,0.21,0.09,49.41,2,0,0.61,1.3,0.15,0,0.33,0,1.12,0.36,0.09,19.94,81,6.52,68.75,0,0.06,0,0,0.61,0.06,0.18,0,41.94,44.9,1.03,1,33
Chang Woo Rim,0,0.05,90.91,0.67,0,0,1.95,1.14,0,2,0,0.57,0.1,0.1,38.29,77.61,5.95,37.4,0,0.05,0,0,0.76,0.29,0.1,0,51.55,58.38,0.67,0.71,21
Young-woo Seol,0.09,0,56.1,0.78,0,0,1.34,1,0,1.38,0.03,0.5,0.09,0.13,59.16,87.37,14.25,53.57,0,0.28,0,0,0.84,0.25,0.19,0,48.72,59.56,1.53,0.47,32
Zeca,0.33,0.19,48.33,2.19,0.11,0,0.56,0.19,0,0.94,0,0.42,0.25,0.19,18.11,65.18,5.36,61.11,0,0.06,0,0,0.44,0.28,0.11,0,46.3,38.24,0.67,1.67,36
Ju-sung Kim,0.05,0.05,25,0.55,0.03,0,0.79,1.45,0.03,3.24,0,0.18,0.03,0.05,75.11,91,3.82,58.71,0,0.16,0,0,1.24,0.05,0.11,0,64.06,61.23,0.39,0.68,38
Min-kyu Ju,0.49,0.17,48.15,2.03,0.06,0,0.37,0.09,0,0.29,0,0.29,0.09,0.06,14.06,72.97,4.03,56.25,0,0.03,0,0,0.69,0.2,0.14,0,34.59,39.24,1.17,0.77,35
Lee Chang-geun,0,0,0,0,0,0,0.03,0,0,1.18,0.03,0.03,0,0,29.08,51.95,1.89,35.33,3.58,0.18,0.21,0.08,1.29,0.24,0.03,0,100,94.12,0.13,0,38
Young-Gwon Kim,0.03,0,62.5,0.35,0,0,0.84,1.32,0.06,2.77,0,0.52,0,0,80.03,87.42,10.97,52.74,0,0.32,0,0,0.74,0.23,0.23,0,55.07,53.33,0.61,0.81,31
Hyeon-woo Jo,0,0,0,0,0,0,0.06,0.03,0,0.71,0.03,0.06,0.03,0,25.23,81.31,0.51,49.84,2.94,0.34,0.11,0.06,0.83,0.26,0.03,0,100,81.82,0.09,0,35
Yu-min Jo,0.1,0,50,0.76,0.1,0,1.29,1.05,0.1,4.05,0,0.57,0.05,0.05,62.24,81.64,5.14,52.38,0,0.14,0,0,1.1,0.29,0.29,0,67.21,62.76,0.43,0.67,21
Dong-hyeon Yang,0,0,0,2,0,0,0,0,0,0,0,1,1,0,11,81.82,5,0,0,0,0,0,2,0,0,0,25,33.33,1,0,1
Cheol-won Choi,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,25.36,67.38,0.36,33.83,2.73,0.27,0.09,0,0.82,0.09,0,0,100,100,0.27,0.09,11
Sang-Min Koo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48.81,3.5,27.12,6,0,0,0,2.5,0.5,0,0,100,100,0.5,0,2
Park Cheong-hyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,48.42,6,40.74,3.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,2
Jeong-un Hong,0,0.09,100,0.52,0,0,1.61,1.42,0.03,5.55,0,0.52,0.03,0.03,26.85,75.73,1.21,45.14,0,0.33,0,0,0.94,0.21,0.06,0,57.26,62.1,0.42,0.48,33
Leandro Ribeiro,0.08,0.13,61.76,0.75,0,0,0.46,0.04,0,0,0,0.13,0.33,0.25,15.67,73.4,5.33,75,0,0,0,0,0.79,0.21,0,0,40.48,52.89,0.63,0.21,24
Dong-heon Kim,0,0,0,0,0,0,0,0,0.08,1.17,0.08,0,0.04,0.04,22.67,46.51,1.54,34.85,2.96,0.33,0.21,0.04,0.92,0.17,0.08,0,92.86,88,0.42,0.08,24
Yeong-kyu Ahn,0.06,0.03,83.33,0.38,0.03,0,1.19,0.78,0,3.53,0.03,0.25,0.06,0.06,68.28,88.92,5.53,55.19,0,0.31,0,0,0.78,0.09,0.16,0,54.96,59.11,0.63,0.63,32
Wanderson,0.11,0,40.54,0.84,0,0,2.58,1.21,0,1.16,0,1,0.11,0.16,43.32,82.5,9.42,43.04,0,0.21,0,0,0.63,0.32,0.16,0,65.52,55.93,0.84,0.74,19
Eun-su Im,0,0,33.33,0.6,0,0,2,1.1,0,4.3,0,0.3,0,0.1,47.7,87.63,3.8,51.85,0,0.2,0,0,1.3,0.2,0.3,0,70.97,65.75,0.5,1.1,10
Jung Ho-Yeon,0.06,0.06,47.92,0.65,0,0,2,0.85,0,1.15,0,0.76,0.12,0.09,45.82,90.12,11.26,72.53,0,0.29,0,0,0.88,0.09,0.15,0,30.19,50.6,1.85,1.56,34
Gi-Hyuk Lee,0,0,69.39,0.42,0,0,1.95,0.63,0,0.37,0,0.47,0.16,0.05,30.16,82.2,7.89,69.41,0,0.11,0,0,0.84,0.11,0.16,0,50,58.76,0.79,1.11,19
Ikram Alibaev,0.04,0,62.5,0.8,0,0,2.84,0.56,0,0.56,0,1,0.12,0,30.6,78.04,5.92,57.01,0,0.16,0,0,0.28,0.08,0.04,0,41.67,54.95,0.4,0.76,25
Ban-suk Oh,0.11,0,71.43,0.41,0.07,0,1.81,1,0.04,3.33,0,0.3,0.04,0,43.63,79.12,2.96,30.41,0,0.15,0,0,0.96,0.19,0.04,0,62.4,66.37,0.59,0.52,27
Kee-hee Kim,0,0.04,42.86,0.42,0,0,1.42,1.31,0.04,3.23,0,0.35,0,0,63.38,86.89,5.92,55.02,0,0.31,0,0,0.96,0.15,0.27,0,60,59.24,0.27,0.73,26
Tae-uk Jeong,0.03,0.03,71.43,0.81,0.03,0,0.84,1.39,0,3.52,0.03,0.39,0.03,0,52.77,85.94,4.35,41.62,0,0.39,0,0,0.81,0.03,0.16,0,74.8,62.34,0.58,1.23,31
Han-Beom Lee,0,0.06,66.67,0.33,0,0,1.11,1.56,0.06,2.94,0,0.56,0.06,0.06,88.44,91.08,6.61,59.66,0,0.11,0,0,1.28,0,0.28,0,69.41,58.94,0.44,1.28,18
Gun-hee Kim,0,0,100,0.11,0,0,0.22,0.22,0,2.56,0,0.22,0,0,14.56,74.81,1.33,40,0,0.11,0,0,0.22,0,0.11,0,73.68,65.38,0,0.22,9
Martin Ádám,0.17,0.03,52.94,1.41,0.07,0,0.21,0.03,0,0.45,0,0.07,0.14,0.17,11.07,68.85,3.69,60,0,0.07,0,0,0.52,0.1,0.24,0,47.69,41.74,0.48,0.97,29
Paul-José Mpoku,0.13,0.04,55.56,1.25,0,0,0.83,0.33,0,0.54,0,0.21,0.08,0.08,32.83,79.95,9.29,50,0,0.04,0,0,0.79,0.17,0.21,0,45.45,50.8,1.04,0.46,24
Guk-yeong Han,0.03,0,68.75,0.47,0,0,2.33,1.17,0,0.58,0.03,1.28,0.06,0.11,39.14,85.1,6.47,74.56,0,0.11,0,0,0.83,0.19,0.08,0,39.71,52.88,0.89,1,36
Jin-su Kim,0,0,50,1.16,0,0,1.21,1.63,0.05,1.11,0,0.58,0.05,0.05,39.16,74.73,7.42,33.33,0,0.26,0,0,0.84,0,0.42,0,50,48.48,0.79,1.26,19
Chan-hee Han,0.12,0.04,65,1.08,0,0,1.08,0.65,0,0.96,0,0.38,0,0,36.46,86.92,6.73,70.49,0,0.08,0,0,0.58,0.15,0.19,0,60,57.14,0.42,0.65,26
Chang-rae Ha,0.07,0,46.67,0.36,0.07,0,1.36,0.96,0,3.96,0,0.68,0,0,58.11,90.23,2.82,65.95,0,0.29,0,0,0.68,0.32,0.21,0.07,57.78,54.11,0.54,1.11,28
Reum Yeo,0,0,33.33,0.25,0,0,1.75,0.75,0,0.25,0,0,0,0,21.5,79.07,6.25,33.33,0,0,0,0,1.75,0,0,0,25,61.11,0.5,0,4
Chan-yong Park,0,0,100,0.27,0,0,1.12,1,0,2.42,0,0.31,0,0,48.88,87.25,3.04,53.9,0,0.15,0,0,0.5,0.23,0.12,0,61.46,60.63,0.27,0.54,26
Boadu Maxwell Acosty,0.16,0.16,58.33,1.72,0.04,0,0.28,0.16,0,0.84,0,0.16,0.12,0.12,19.28,77.59,6.76,69.23,0,0.04,0,0,0.68,0.12,0.04,0,57.41,48.65,1.24,0.88,25
Valeri Qazaishvili,0.32,0.15,53.27,2.44,0,0,0.91,0.24,0,0.29,0,0.56,0.15,0.03,34.71,86.53,11.79,66.67,0,0.09,0,0,0.5,0.24,0.03,0,28.13,42.71,0.85,0.26,34
Hyeon-bin Park,0,0,33.33,0.4,0,0,3.8,1.4,0.2,0.6,0,0,0,0,26.6,78.2,4,58.82,0,0,0,0,0.4,0,0.4,0,0,58.14,0.6,1.4,5
Jin-hyeok Kim,0.03,0.05,58.33,0.68,0,0,1.42,1.53,0,3.37,0,0.21,0.03,0.03,24.55,73.53,2.08,41.76,0,0.32,0,0,0.82,0.21,0.08,0,50.54,55.63,0.66,0.82,38
Ui-Jo Hwang,0.22,0.28,45.83,2.33,0,0,0.44,0.17,0,0.33,0,0.44,0.06,0.22,22,83.33,6.72,58.33,0,0.11,0,0,0.78,0,0.06,0,20.59,37.82,1.06,0.56,18
Seung-wook Park,0.03,0.03,61.11,0.39,0.03,0,1.87,1.29,0,1.32,0,0.77,0.13,0.03,61,83.08,7.94,53.91,0,0.26,0,0,0.71,0.32,0.16,0,45.33,55.2,1.13,0.94,31
Min-woo Seo,0.06,0.09,42.86,0.44,0,0,3.15,1.59,0,1.94,0,1.15,0.03,0.06,41.5,80.44,5.68,48.61,0,0.21,0,0,0.82,0.18,0.29,0,64.52,54.38,0.65,1.62,34
Yong Lee,0.04,0,41.18,0.31,0,0,2.54,1.04,0,1.38,0,0.69,0.04,0.04,48.31,81.37,9.42,54.91,0,0.04,0,0,1.31,0.38,0.12,0,43.94,56,0.38,0.62,26
Chae-min Im,0.04,0,66.67,0.65,0,0,1.04,0.77,0,3.46,0,0.42,0,0,54.23,86.88,4.46,53.85,0,0.27,0,0,0.88,0.27,0.23,0,57.83,56.35,0.77,1.04,26
Stefan Mugoša,0.33,0.33,40,2.33,0,0,0.11,0.33,0,0.33,0,0.44,0.11,0.11,15.67,53.9,2.56,25,0,0,0,0,0.56,0,0.11,0,50,41.1,0.44,0.56,9
Yeong-jun Choi,0,0,50,0.22,0,0,2.11,1.56,0,1.33,0,0.78,0,0.11,49.56,80.72,8.67,50,0,0,0,0,0.44,0.56,0.33,0,38.46,56.72,0.89,0.67,9
Young-jun Go,0.29,0.29,41.67,1.75,0,0,1.18,0.57,0,0.25,0,0.46,0.14,0.04,20,73.93,6.14,52.63,0,0,0,0,0.64,0.32,0,0,21.62,47.52,1.43,0.57,28
Kim Jun-ho,0,0,80,0.42,0,0,1.54,0.75,0,0.46,0,0.58,0.08,0.04,30.96,86.81,6.17,72.29,0,0,0,0,0.08,0.13,0,0,23.81,49.12,0.25,0.63,24
Min-ki Lee,0.04,0,60.47,0.61,0,0,2.07,0.96,0,1.46,0,0.57,0.04,0.04,43.43,88.82,8.71,65.52,0,0.32,0,0,0.61,0,0.14,0,46.81,55.7,0.75,0.82,28
Yeong-bin Kim,0,0.1,100,0.53,0,0,0.88,0.78,0,3.93,0.03,0.18,0,0.03,49.68,84.5,1.65,55.28,0,0.23,0,0,0.83,0.2,0.13,0,63.59,60.26,0.18,0.75,40
Tae-heui Lee,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.11,18.89,48.24,0.67,27.5,3.11,0.22,0.11,0,1.11,0.22,0,0,100,100,0.33,0,9
In-kyun Kim,0.28,0.1,36.59,1.07,0,0,0.41,0.21,0,0.28,0.03,0.28,0.31,0.21,12.1,72.65,3.52,64.29,0,0,0,0,0.9,0.14,0.07,0,44.3,41.71,0.55,0.31,29
Chul Hong,0,0,35.29,0.21,0,0,1.14,0.62,0.03,1.17,0,0.69,0.28,0.21,30.59,74.52,5.48,45.24,0,0.21,0,0,0.45,0.21,0.07,0,42.86,46.81,0.62,0.62,29
Myung Joo Lee,0.08,0.04,55.56,0.48,0,0,1.28,0.68,0,0.56,0,1.52,0.08,0.04,42.4,81.6,9.04,50.88,0,0.16,0,0,0.8,0.16,0.2,0,67.74,44.63,0.64,1.16,25
Ho-ik Jang,0,0,42.86,0.12,0,0,2.12,1.88,0,1.53,0,0.65,0.12,0,37.65,83.75,3.65,46.84,0,0.06,0,0,0.94,0.24,0.06,0,73.68,70.83,1.06,0.41,17
Hernandes,0.18,0.12,62.71,2.12,0,0,0.85,0.21,0,0.42,0,0.48,0.12,0.15,25.94,75.7,8.03,37.5,0,0.09,0,0,0.76,0.12,0.12,0,26.79,46.03,1.09,0.58,33
Jae-mun Ryu,0.07,0,83.33,0.64,0,0,1.71,1.07,0,0.86,0,0.93,0,0.14,41.93,86.88,6.5,68.29,0,0.21,0,0,0.57,0,0,0,74.19,61,0.64,0.5,14
Hyun Kim,0.14,0.18,27.27,1.91,0.09,0,0.18,0.05,0,0.59,0,0.23,0.09,0.14,15.95,66.95,4.23,46.15,0,0,0,0,1.23,0.27,0.05,0,50.88,48.93,0.91,0.36,22
Jun Amano,0.04,0,35.29,1.12,0,0,0.88,0.32,0,0.36,0,0.52,0.08,0.12,21.12,81.25,6.16,40.38,0,0.08,0,0,0.44,0.08,0.04,0,37.14,45.24,1.16,0.96,25
Jo Seong-Kwon,0.5,0,0,1,0,0,1,1,0,4,0,0,0,0,28,64.29,4,40,0,0.5,0,0,0.5,0.5,0.5,0,75,53.33,0,1.5,2
Luan,0,0,66.67,1,0,0,0.67,0,0,0,0,1,0.33,0.33,15.67,72.34,5.33,0,0,0,0,0,1.33,0.33,0,0,0,46.43,1.67,0.67,3
Lee Seung-joon,0,0,62.5,0,0,0,0,0.5,0,0,0,0,0,0,9,100,3,0,0,0,0,0,0.5,0,0,0,0,63.64,1,0,2
Tomáš Petrášek,0,0,0,0.43,0,0,0.43,0.14,0.14,4.29,0,0,0,0,33.86,75.11,2.29,35.71,0,0.14,0,0,0.86,0.14,0.14,0,57.89,58.06,0,0.29,7
Dong-jun Kim,0,0,100,0,0,0,0.05,0.03,0.03,0.95,0.05,0.05,0,0,25.89,62.11,1.7,39.21,3.27,0.27,0.05,0,1,0.3,0.05,0,100,83.33,0.14,0.03,37
Do-hyeok Kim,0.03,0.06,42.31,0.72,0,0,1.44,0.84,0,0.5,0,0.5,0.22,0.09,37.84,77.29,7.22,48.77,0,0.16,0,0,0.75,0.09,0.09,0,51.22,53.46,0.84,0.44,32
Hyeon-beom Ahn,0.12,0.08,22.73,1.27,0.04,0,1.23,0.69,0,1.19,0,0.35,0.15,0.15,25.38,81.21,6.12,47.54,0,0.15,0,0,0.85,0.04,0.08,0,45.24,48.81,1,0.5,26
Kim Bong-Soo,0.06,0.03,67.65,0.51,0,0,1.97,0.86,0,0.86,0,0.66,0.06,0,44.97,85.13,8.63,57.62,0,0.14,0,0,0.91,0.26,0.11,0,50.75,59.64,1.09,0.71,35
Sang-Ho Na,0.32,0.13,40.18,2.08,0,0.88,1.05,0.39,0,0.29,0.03,0.37,0.13,0.11,24.26,74.62,7.76,29.27,0,0.13,0,0,0.95,0.05,0.03,0,38.46,42.82,1.08,0.71,38
Min-kyu Song,0.23,0.17,51.39,1.27,0,0,1.1,0.4,0,0.33,0,0.77,0.17,0.1,19.73,73.48,6.33,60,0,0.03,0,0,0.6,0.07,0.07,0,40.38,42.96,0.83,0.77,30
Min-hyeok Kim,0.06,0.1,55.17,0.94,0.03,0,1.65,0.65,0,0.45,0,0.48,0,0.1,34.74,87.19,7.97,61.76,0,0.1,0,0,0.61,0.19,0.23,0,54.9,53.74,0.9,0.81,31
Choi Woo-jin,0.2,0,42.86,0.4,0,0,1.4,1.6,0,0.2,0,0.6,0,0.2,22,80.91,5.4,42.86,0,0.2,0,0,0.6,0,0,0,0,47.22,0.8,0,5
Ji-sol Lee,0.17,0.17,100,0.67,0.17,0,0.5,0.83,0.17,3.5,0,0,0,0,29.17,84,1.17,35,0,0,0,0,0.83,0.17,0.17,0,33.33,45.83,0.33,0.67,6
